"","C1","C2","C3","E1","E2","E3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","delabel"
"GAS6",322.668255571982,336.013582257717,298.782468948623,216.149353301068,220.507898818815,253.52988610508,274.608574167214,-0.466558172756161,0.141551675663041,-3.29602719692832,0.000980625215162793,0.00199365707986831,"DOWN",NA
"LINC00565",46.249116631984,39.2998341821891,44.4555230615598,6.68503154539385,35.8185419401121,18.5683860245974,31.8460722309727,-1.09510447801791,0.463249430980804,-2.36396292101068,0.0180806220933871,0.0302721497709877,"DOWN",NA
"C13orf46",68.8358945220228,86.459635200816,65.1325105320527,52.3660804389185,86.1883665433947,94.2702675094944,75.5421257911165,0.0872769387668445,0.279938852663617,0.311771438428088,0.755214231716046,0.803871929365695,"NO",NA
"RASA3",2768.4936328076,2868.8878952998,2578.42033757047,2665.09924276368,2936.00110965356,2774.5453732908,2765.24126523099,0.0275484252267047,0.0678249138208802,0.406169704829374,0.684617912138404,0.743693618107818,"NO",NA
"CDC16",6307.08883558034,6491.35011104308,6875.09833393889,6407.60273626001,7020.43422026197,6569.6378092412,6611.86867438758,0.0233709099901569,0.0592574198963536,0.394396347850356,0.693288439735663,0.75127007701927,"NO",NA
"RP11-569D9.7",19.3600953343189,11.7899502546567,24.8123849645915,13.3700630907877,7.83530604939952,10.7125303988062,14.6467216820934,-0.807042979465237,0.583563340559552,-1.38295695320991,0.166678065427239,0.225462501870794,"NO",NA
"UPF3A",1919.87612065329,1942.3943044547,1845.42113174149,1933.08828854306,2115.53263333787,1831.84269819586,1931.35919615438,0.0412701147086037,0.0736944991261075,0.560016218279488,0.575468375396454,0.646603127819803,"NO",NA
"CHAMP1",1448.7804675182,1865.75962779943,2080.10493953159,3304.63392727303,3803.48142226565,3934.35533113488,2739.51928592046,1.03360030150576,0.102692642860582,10.0649888123826,7.88963022577532e-24,5.56617031524883e-23,"UP",NA
"DUXAP9",11.8311693709727,14.7374378183209,6.20309624114787,20.0550946361816,19.0286004056845,29.2809164234036,16.8560524826185,1.07071327460822,0.555091047440391,1.92889667297903,0.0537436909519064,0.0819692549425149,"NO",NA
"DUXAP10",228.0189006042,172.919270401632,218.1422178137,139.271490529039,110.813614127222,136.406220411465,167.595285647876,-0.674870533367082,0.185944112218864,-3.62942674179827,0.000284051327443767,0.000617049352554398,"DOWN",NA
"TTC5",452.811118652681,537.425232441436,505.552343653552,547.058414798064,528.323493616653,542.054038179593,518.870773556996,0.112172226105416,0.10835706117462,1.03520919531629,0.300571225395101,0.375408920462615,"NO",NA
"CCNB1IP1",1857.49359124271,1822.52981019902,1782.35631995649,3744.73183734479,3990.40943801561,3857.22511226348,2842.45768483702,1.08560212953239,0.061866512320699,17.5474919921932,6.216516631625e-69,1.42914836762919e-67,"UP",NA
"RP11-203M5.10",10.7556085190661,26.5273880729776,15.5077406028697,10.0275473180908,29.1025653263411,24.2817355706273,19.3670975683288,0.265679022551487,0.5489033565711,0.484017850084095,0.628373201052664,0.694929160292656,"NO",NA
"RPPH1",6.45336511143963,16.7024295274304,20.6769874704929,24.5117823331108,13.431953227542,14.9975425583287,16.1290100380574,0.261262323538481,0.57939908876911,0.45091945880259,0.652047598427899,0.71555419649098,"NO",NA
"PARP2",698.038992887387,674.974652079098,662.697448429298,593.853635615821,641.375766615132,642.037655235117,652.163025143642,-0.11550738521658,0.0955954831783819,-1.20829333537697,0.226934451099042,0.295308558922351,"NO",NA
"TEP1",1098.14762979664,984.460846263837,899.448954966442,926.991040961281,967.100632383026,837.005708493389,952.19246881077,-0.129069827344051,0.0970100684660516,-1.33047867489361,0.183360607967654,0.245075706139091,"NO",NA
"OSGEP",780.857178484196,649.429759860675,777.454728890533,1051.7782964753,1044.33436344139,1143.38407789925,907.873067508557,0.555700707727237,0.0959068922946916,5.79416864034906,6.86604401587625e-09,2.2817579292173e-08,"UP",NA
"APEX1",6154.3591946096,5918.55502783768,5810.23347920851,4718.51809912383,4848.93511514267,4398.56498174982,5308.19431627868,-0.35754252630901,0.0591150143957535,-6.0482523765518,1.46425458246742e-09,5.11126542858579e-09,"DOWN",NA
"PIP4P1",1327.24209125275,1207.48740524776,1138.26816025063,2452.29240523531,2493.8659825803,2630.28329725354,1874.90655697005,1.04576276439961,0.0757181537797556,13.8112554545566,2.17998873694967e-43,2.77551546144751e-42,"UP",NA
"PNP",1435.87373729532,1300.82451143046,1348.13958307614,1770.41918760514,1742.79593127358,1670.44057352051,1544.74892070019,0.343100710595969,0.0737150354652045,4.65441966392218,3.24894478039518e-06,8.6064021223696e-06,"UP",NA
"ANG",52.7024817434237,43.229817600408,38.2524268204119,15.5984069392523,27.9832358907126,21.4250607976124,33.1985716319701,-1.04568972015527,0.392935636487992,-2.6612239335213,0.00778571574145719,0.0138882287292521,"DOWN",NA
"METTL17",1166.98352431867,1114.15029906506,1264.39778382064,1082.9751103538,953.668679155484,1093.39226937148,1112.59461101419,-0.177992605284744,0.0878201697895727,-2.02678502798657,0.0426844022809637,0.0665469951425465,"NO",NA
"NDRG2",857.221998969565,748.661841170702,783.657825131681,646.219716054739,563.022706121137,520.62897738198,686.568844138301,-0.469574959879442,0.106491740473814,-4.40949652799512,1.03611219540096e-05,2.6183709440136e-05,"DOWN",NA
"ARHGEF40",1713.36843708722,1553.32594605102,1503.21698910483,1758.16329643858,1553.62925665236,1671.15474221376,1625.4764445913,0.0635117916014901,0.0791557980317725,0.802364364717756,0.42234222020381,0.500086484466441,"NO",NA
"ZNF219",2144.66833870177,2045.55636918294,2051.1571570729,1392.71490529039,1361.10459372426,1377.63140928647,1728.80546220979,-0.595043275540039,0.0680710197135335,-8.74150670937777,2.30021864946659e-18,1.30111669101861e-17,"DOWN",NA
"LINC00641",264.587969569025,226.956542402142,273.970083984031,313.082310709279,323.486206896637,308.520875485618,285.100664841122,0.303988908346372,0.138335890755252,2.19746955534625,0.0279869284789577,0.0453571085359715,"UP",NA
"HNRNPC",14428.6488283271,14769.8601815212,14868.8216900315,25521.2220964653,27531.0267987186,27269.1032145078,20731.4471349286,0.86612716391848,0.0507738506907605,17.0585282017244,3.02070350234552e-65,6.40805791256195e-64,"UP",NA
"RPGRIP1",11.8311693709727,12.7724461092115,16.5415899763943,12.2558911665554,5.59664717814251,5.71334954602996,10.7851822245511,-0.824401359880009,0.672145575407065,-1.22652203636204,0.22000228790293,0.287308753328272,"NO",NA
